Тканевый прорезиненный конечной длины (ОСТ 38.05.98 76) без прослоек	20	500	3	13.5	30
Синтетический капроновый с плёночным покрытием (МРТУ 17-645-68)	10	30	0.4	0.6	100
Синтетический капроновый с плёночным покрытием (МРТУ 17-645-68)	40	100	1	1.2	50
